ID,Name,Age,Email,Date of Joining,Salary,Department,Performance Score,Remote Work,Manager ID
1,Victoria Shelton,19,debrahurst@hotmail.com,2012-03-27,46862.48,Legal,4.42,True,48.0
2,Jacqueline Harrison,53,travis79@powell.biz,2023-11-24,92795.56,Sales,1.05,False,60.0
3,Catherine Taylor,64,mlee@gmail.com,2023-01-16,117333.78,Legal,2.44,False,5.0
4,Richard Walker,28,khoward@yahoo.com,2012-09-24,45774.8,Sales,3.92,True,55.0
5,Roger Whitaker,28,rachelgilbert@yahoo.com,2015-02-23,48176.98,HR,1.69,False,26.0
6,Michelle Turner,42,xmitchell@gmail.com,2011-05-16,92435.1,Finance,3.08,True,48.0
7,Jordan Simmons,49,reneeoneal@taylor.net,2017-02-11,100123.85,Marketing,1.22,False,97.0
8,Ashley Adams,61,thompsonpaige@yahoo.com,2021-02-12,74149.41,Sales,1.8,True,5.0
9,Angel Taylor,45,pateldustin@sullivan.com,2018-04-12,84871.78,Sales,1.07,False,78.0
10,David Randolph,31,whitekevin@gonzalez.com,2011-11-19,49141.42,Legal,4.17,False,34.0
11,Cynthia Mays,32,villanuevaanthony@rojas.biz,2023-05-19,72895.28,Legal,1.9,True,3.0
12,John Whitaker,23,gail79@rios.com,2015-12-23,40086.47,Finance,2.38,True,74.0
13,Diana Montgomery,41,morristami@yahoo.com,2014-01-01,58927.97,Sales,4.71,False,44.0
14,Jeffrey Hebert,60,brian70@sanchez.com,2013-09-27,55630.17,Finance,3.82,True,90.0
15,Taylor Wilkerson,57,jnewton@wagner-jackson.net,2019-03-14,70016.28,Marketing,1.13,False,47.0
16,Douglas Livingston,55,bpark@ortiz.org,2011-05-28,113711.37,IT,1.66,True,43.0
17,Austin Maldonado,56,sbrennan@conley.org,2012-12-25,46314.09,Marketing,3.49,False,86.0
18,Michael Jensen,29,tranian@gmail.com,2018-08-06,66124.94,IT,3.31,False,58.0
19,Gary Garcia,61,vburgess@stokes.com,2014-07-07,85403.75,Finance,1.95,True,82.0
20,Joseph White,42,deanna48@thompson.com,2019-10-08,115190.14,IT,4.74,False,17.0
21,April Thomas,35,hernandezwendy@martinez-wilson.com,2013-11-02,41983.34,Legal,3.46,True,76.0
22,Albert Nguyen,39,powelljeffery@hotmail.com,2021-05-01,112608.9,HR,3.14,False,66.0
23,Michael Gonzalez,48,gonzalezmadeline@tran.biz,2015-07-28,37294.84,Marketing,3.36,False,11.0
24,Amy Thomas,36,amandamorrow@williams.com,2019-10-02,73266.73,Legal,3.92,True,32.0
25,Keith Jones,43,xmcdaniel@parks-harris.info,2016-04-06,70913.09,Finance,2.25,True,13.0
26,Lee Gonzalez,47,ccallahan@freeman.info,2019-12-29,48864.25,Marketing,2.59,False,91.0
27,Denise White,55,scott90@moreno.com,2014-05-31,61271.37,Operations,1.84,True,13.0
28,Alexis Williamson,58,aprilkirby@jones-ali.com,2018-07-10,70874.87,Legal,1.74,True,34.0
29,Dana Ward,60,joseph08@gmail.com,2015-06-12,107869.03,Marketing,4.78,False,3.0
30,Shannon Berry,49,kathryn68@yahoo.com,2016-07-04,115955.77,IT,3.96,False,88.0
31,Bonnie Young,57,neil30@dodson.com,2024-05-04,76703.31,Finance,2.96,False,18.0
32,Barbara Johnson,29,janetharris@hotmail.com,2011-08-11,108308.98,HR,1.91,False,79.0
33,Joshua Frederick,32,nelsonandrea@yahoo.com,2014-12-14,84735.44,Operations,2.02,True,98.0
34,Melanie Hinton,50,hjennings@yahoo.com,2015-08-12,61417.86,HR,1.23,False,84.0
35,Samuel Fernandez,19,sarahgeorge@smith-pacheco.com,2011-01-24,47477.48,Legal,2.74,False,17.0
36,Laura Johnson,19,lisa67@gmail.com,2014-01-05,67182.13,Operations,2.25,False,48.0
37,Catherine Villa,54,snielsen@owen.com,2022-10-26,77054.19,Finance,3.79,True,26.0
38,Adam Rodriguez,43,lawrencekrista@yahoo.com,2015-09-20,33999.9,Sales,2.51,True,73.0
39,Leslie Haynes,30,ashleyhailey@hotmail.com,2019-08-17,43125.7,Marketing,1.72,True,84.0
40,Patricia Bailey,26,znavarro@snyder-doyle.info,2014-02-04,84016.6,HR,1.1,True,40.0
41,John Garcia,30,zmoore@hotmail.com,2019-11-28,50250.14,Finance,1.27,False,25.0
42,Tina Duncan,42,russellperkins@yahoo.com,2021-08-01,105359.37,Sales,3.72,False,53.0
43,Christopher Hicks,37,ihaley@hotmail.com,2022-07-28,59424.8,Finance,2.81,False,65.0
44,Sharon Miller,21,jacksonanthony@black-farrell.com,2015-05-22,39435.08,Marketing,3.15,True,64.0
45,Tyler Dorsey,28,ahill@nguyen.info,2020-10-22,37517.75,Operations,4.59,True,15.0
46,David Parks,25,davidburke@yahoo.com,2013-08-31,114341.07,IT,4.96,True,71.0
47,Monica Jackson,46,morenolaura@lopez.com,2010-08-06,40621.83,Marketing,1.87,True,13.0
48,Shawn Bird,32,tonymiddleton@gmail.com,2019-01-09,42681.88,Sales,3.65,False,88.0
49,Lisa Tucker,26,hsmith@baker.com,2013-02-28,107639.95,Sales,2.05,False,60.0
50,Jennifer White,64,mfitzpatrick@hotmail.com,2015-04-03,52885.93,Legal,1.08,False,15.0
51,Barbara Hall,53,wallamber@hotmail.com,2016-11-10,89935.63,Marketing,4.03,True,65.0
52,Andrew Wright,53,michaelreyes@dixon.com,2015-03-11,103505.31,Finance,2.28,True,57.0
53,David Garner,35,mary41@yahoo.com,2022-04-21,84646.26,HR,2.53,True,60.0
54,Michael Holloway,41,taracharles@harper.com,2012-09-04,116173.97,Legal,3.35,False,22.0
55,Whitney Price,30,iwilliams@gmail.com,2011-03-22,93799.46,Marketing,4.32,False,58.0
56,Melissa Todd,63,zcaldwell@yahoo.com,2020-03-02,40147.64,HR,3.52,False,70.0
57,Sheila Robinson,25,benjamin51@martinez-blake.com,2020-09-09,80256.9,HR,4.49,False,43.0
58,Erin Coleman,65,brady10@yahoo.com,2022-10-24,94636.79,Operations,2.09,False,16.0
59,Matthew Prince,64,nathan07@diaz.com,2017-08-15,102176.15,Legal,4.19,False,53.0
